,Title,Year,Page Number,Subject
1149,"  Repair of Pennsylvania Avenue. (with Bill H.R. No. 23.) August 9, 1841.",1841,114.0,Construction
1155,"  The present state of Westminster Bridge. Containing a description of the said bridge, as it has been ordered into execution by the Right Honourable, &c. the commissioners appointed by Parliament, and is now carrying on. With a true account of the time already employed in the building, and of the works which now done. In a letter to a friend.",1743,115.0,Construction
1158,  Report on the Ganges Canal,1864,115.0,Construction
1159,  Hospital statistics and hospital plans,1862,115.0,Construction
1160,"  In Chancery. Macey v. the Board. Arguments on motion for injunction, and judgment of Vice Chancellor Wood, 3rd and 4th March, 1864. Ordered to be printed.",1864,116.0,Construction
1161,  Report upon Metropolitan Railway and other schemes of session 1872.,1872,116.0,Construction
1162,"  Rudimentary treatise on cottage building, or, Hints for improving the dwellings of the labouring classes",1857,116.0,Construction
1163,  Kotagudi aerial ropeway and connecting roads in North Travancore,1907,116.0,Construction
1164,"  Thoughts on the construction and polity of prisons, with hints for their improvement.",1785,116.0,Construction
1165,"  Reports of the Select Standing Committee on Privileges and Elections relative to certain statements and charges made in connection with the tenders and contracts respectiong the Quebec harbour works and the Esquimalt graving dock (referred on the 11th May, 1891) and also relative to the resignation of Honorable Thomas McGreevy (referred on the 19th August, 1891) with minutes of proceedings and evidence attached.",1891,116.0,Construction
1166,  North Shore Railway : review by the chief engineer of the reports made by the government engineer respecting the character of the road,1875,116.0,Construction
1167,"  North Shore Railway : report of the chief engineer upon the situation  with seven appendices  dated March 4, 1875",1875,116.0,Construction
1168,"  Le Chemin de fer de Québec, Montréal, Ottawa et occidental : devis général (section ouest) = Quebec, Montreal, Ottawa & occidental railway : general specification (western section).",1876,116.0,Construction
1169,"  Speeches of Hon. L. H. Davies, M.P. and Dalton McCarthy, M.P. on the Curran Bridge contract : House of Commons, Ottawa, Tuesday, 18th June, 1895.",1895,116.0,Construction
1174,  Report on the St. Lawrence bridge & manufacturing scheme,1882,117.0,Construction
1176,  The Sault Ste. Marie Bridge,1890,117.0,Construction
1178,"  In the Senate of the United States. February 2, 1858. -- Referred to the Committee on Claims. The Court of Claims submitted the following report ... Illinois Central Railroad Company vs. the United States ...",1858,117.0,Construction
1179,"  Defences of the northeastern frontier. (To accompany Bill H.R. No. 541.) June 20, 1864. -- Ordered to be printed.",1864,117.0,Construction
1180,"  Message from the President of the United States, to the two Houses of Congress, at the commencement of the first session of the Twenty-first Congress. December 8, 1829. Read, and committed to a Committee of the Whole House on the State of the Union.",1829,118.0,Construction
1183,"  Report from the Secretary of War, in compliance with a resolution of the Senate, in reference to the defence of the frontier of Maine. December 21, 1838. Referred to the Committee on Military Affairs, and ordered to be printed, and that 1,000 additional copies be furnished for the use of the Senate.",1838,118.0,Construction
1184,"  Senator from Maine. March 2 (calendar day, March 4), 1927. -- Ordered to be printed.",1927,118.0,Construction
1185,"  Documents accompanying the President's message to Congress, at the commencement of the first session of the Nineteenth Congress. December 6, 1825. Printed by order of the Senate of the United States.",1825,118.0,Construction
1186,"  Letter from the Secretary of War, communicating, in compliance with a resolution of the Senate of March 7, 1872, a preliminary report of Lieutenant George M. Wheeler, Corps of Engineers, of the progress of the engineer exploration of the public domain in Nevada and Arizona. April 20, 1872. -- Referred to the Committee on Appropriations and ordered to be printed.",1872,118.0,Construction
1187,"  Special disbursing agents of the Alaskan Engineering Commission. February 28, 1927. -- Ordered to be printed.",1927,118.0,Construction
1188,"  In Senate of the United States. July 31, 1846. Submitted, and ordered to be printed without the map. Mr. Breese made the following report : (To accompany Bill S. No. 246.) The Committee on Public Lands, to whom were referred a memorial of sundry citizens of Indiana, praying the construction of a national railroad from the Mississippi to the Columbia River, and the memorial of Asa Whitney, suggesting the means, and submitting a proposition, for the construction of such road from Lake Michigan to the Pacific Ocean, report ...",1846,118.0,Construction
1189,"  Relief of a special disbursing agent of the Alaskan Engineering Commission. February 1, 1926. -- Committed to the Committee of the Whole House and ordered to be printed.",1926,118.0,Construction
1190,"  Special disbursing agents of the Alaskan Engineering Commission -- the Alaska Railroad. May 13, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,119.0,Construction
1191,"  Gagnon & Co. (Inc.). March 29, 1926. -- Committed to the Committee of the Whole House and ordered to be printed.",1926,119.0,Construction
1192,"  Letter from the Secretary of the Treasury, transmitting statements of moneys arising from the sale of public lands in Ohio, Indiana, Mississippi, Illinois, Alabama, and Missouri, which have been paid to said states, or is due to each  appropriated by law for the opening roads and canals within the same. January 27, 1823. Read, and ordered to lie on the table.",1823,119.0,Construction
1193,"  National wealth and income. A report by the Federal Trade Commission in final response to Senate Resolution No. 451, Sixty-seventh Congress, fourth session, agreed to February 28, 1923. May 25, 1926. -- Referred to the Committee on Finance.",1926,119.0,Construction
1194,"  Union scale of wages and hours of labor, May 15, 1926. [U.S. Bureau of Labor Statistics Bulletin No. 431. Wages and Hours of Labor Series. February 1927.].",1927,119.0,Construction
1195,"  ""Restore to the Public Domain Certain Lands within the Casa Grande Ruins National Monument, and for Other Purposes."" March 20 (calendar day, March 22), 1926. -- Ordered to be printed.",1926,119.0,Construction
1196,"  Arrêts, ordonnances et avis consultatifs = Judgments, orders and advisory opinions",2021,119.0,Construction
1197,"  Niagara ship canal. (To accompany Bill H.R. No. 432.) May 11, 1858. -- Ordered to be printed.",1858,119.0,Construction
1198,"  Mill Creek and South Slough at Milan, Ill. Letter from the Secretary of War, transmitting with a letter from the Chief of Engineers, reports on preliminary examination and survey of Mill Creek and South Slough at Milan, Ill., for the purpose of ascertaining and reporting as to the effect of the construction of the Illinois and Mississippi Canal on flood conditions in the town of Milan ... January 4, 1926. -- Referred to the Committee on Rivers and Harbors and ordered to be printed.",1926,119.0,Construction
1200,"  Davis Construction Co. February 13, 1926. -- Committed to the Committee of the Whole House and ordered to be printed.",1926,120.0,Construction
1201,"  Forest Service, forest roads and trails -- administration of the Warehouse Act. Communication from the President of the United States transmitting estimates of appropriation for the Department of Agriculture for the fiscal year 1927 for fighting and preventing forest fires, for forest roads and trails ... December 20, 1926. -- Referred to the Committee on Appropriations and ordered to be printed.",1926,120.0,Construction
